
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
     time_to_death[67]      0.00      0.00      0.00      0.00      0.00   1114.97      1.00
     time_to_death[68]      0.00      0.00      0.00      0.00      0.00   1061.20      1.00
     time_to_death[69]      0.00      0.00      0.00      0.00      0.01   1164.94      1.00
     time_to_death[70]      0.00      0.01      0.00      0.00      0.00    961.20      1.00
     time_to_death[71]      0.00      0.01      0.00      0.00      0.01   1066.26      1.00
     time_to_death[72]      0.00      0.01      0.00      0.00      0.01   1163.93      1.00
     time_to_death[73]      0.00      0.01      0.00      0.00      0.01   1163.53      1.00
     time_to_death[74]      0.00      0.01      0.00      0.00      0.01    844.72      1.00
     time_to_death[75]      0.00      0.01      0.00      0.00      0.01    889.74      1.00
     time_to_death[76]      0.00      0.01      0.00      0.00      0.01    753.88      1.00
     time_to_death[77]      0.01      0.02      0.00      0.00      0.01    920.62      1.01
     time_to_death[78]      0.00      0.01      0.00      0.00      0.01   1020.91      1.00
     time_to_death[79]      0.01      0.02      0.00      0.00      0.02    946.77      1.00

Number of divergences: 0
